epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1062.2,0.8946,1.59625,1.51563,0.70381,0.74824,0.76053,0.29824,1.64178,2.44365,2.56744,0.000662309,0.000662309,0.000662309
2,2219.04,1.01735,1.11217,1.61704,0.44035,0.59149,0.46208,0.15997,2.02885,3.0627,2.94684,0.00130266,0.00130266,0.00130266
3,3326.98,1.0645,1.00334,1.66172,0.54092,0.62979,0.49731,0.18609,2.11469,2.12944,3.60155,0.00191662,0.00191662,0.00191662
4,4433.61,1.0496,0.92881,1.64208,0.59326,0.71378,0.68232,0.25884,2.02244,1.8624,2.84538,0.0018812,0.0018812,0.0018812
5,5537.3,0.99445,0.88051,1.59907,0.76468,0.71915,0.74579,0.31543,2.01093,1.23906,3.24153,0.0018416,0.0018416,0.0018416
6,6480.03,0.96423,0.83839,1.57808,0.76425,0.77021,0.7866,0.35814,1.8353,1.16232,2.70153,0.001802,0.001802,0.001802
7,7373.78,0.92888,0.81112,1.5475,0.83206,0.82128,0.88495,0.40723,1.77672,1.05316,2.60149,0.0017624,0.0017624,0.0017624
8,8263.06,0.92557,0.7796,1.53627,0.83241,0.8243,0.82192,0.38561,1.96472,0.94077,3.00634,0.0017228,0.0017228,0.0017228
9,9161.06,0.87029,0.78301,1.49903,0.74115,0.77021,0.80793,0.36536,1.69518,1.2791,2.45744,0.0016832,0.0016832,0.0016832
10,10086.4,0.8607,0.74345,1.49318,0.81324,0.79574,0.80016,0.39274,1.90957,0.9815,2.83437,0.0016436,0.0016436,0.0016436
11,10990.9,0.86461,0.72811,1.49911,0.88195,0.84681,0.86545,0.41284,1.8116,0.88048,2.75846,0.001604,0.001604,0.001604
12,11880.4,0.82908,0.70576,1.46639,0.83267,0.87234,0.87623,0.4749,1.55507,0.96308,2.45909,0.0015644,0.0015644,0.0015644
13,12769.1,0.83485,0.72318,1.46654,0.88175,0.825,0.90249,0.44874,1.78344,0.92664,2.48823,0.0015248,0.0015248,0.0015248
14,13656.7,0.81409,0.69497,1.45193,0.88092,0.84997,0.91305,0.47758,1.6183,0.88113,2.50158,0.0014852,0.0014852,0.0014852
15,14544.7,0.7994,0.69416,1.43882,0.89908,0.90986,0.9394,0.52691,1.56693,0.80061,2.35968,0.0014456,0.0014456,0.0014456
16,15451,0.7947,0.6813,1.43317,0.87454,0.88085,0.89574,0.49443,1.58843,0.91371,2.37628,0.001406,0.001406,0.001406
17,16338.3,0.77307,0.66084,1.41285,0.8888,0.85532,0.93774,0.52654,1.47976,0.84695,2.19769,0.0013664,0.0013664,0.0013664
18,17226.4,0.76783,0.65343,1.41692,0.8995,0.88511,0.92473,0.50956,1.58385,0.76846,2.3513,0.0013268,0.0013268,0.0013268
19,18116.2,0.76508,0.65926,1.40884,0.89262,0.91972,0.93567,0.52135,1.55413,0.82549,2.38008,0.0012872,0.0012872,0.0012872
20,19003.7,0.74884,0.63873,1.38421,0.86935,0.8383,0.87711,0.44743,1.82859,0.91026,2.81176,0.0012476,0.0012476,0.0012476
21,19891.4,0.77402,0.66576,1.43458,0.86994,0.89362,0.89479,0.50836,1.54188,0.8285,2.41218,0.001208,0.001208,0.001208
22,20785.1,0.74608,0.63871,1.39376,0.87694,0.91915,0.93856,0.52636,1.60949,0.79144,2.43305,0.0011684,0.0011684,0.0011684
23,21658.9,0.74102,0.63027,1.38898,0.90251,0.86383,0.90044,0.47372,1.72358,0.87377,2.61488,0.0011288,0.0011288,0.0011288
24,22529.9,0.73093,0.61203,1.3841,0.88492,0.88347,0.91353,0.49806,1.55669,0.75491,2.35776,0.0010892,0.0010892,0.0010892
25,23399.3,0.72508,0.61646,1.37638,0.92591,0.8766,0.94804,0.5764,1.32097,0.82206,2.02205,0.0010496,0.0010496,0.0010496
26,24269.7,0.7061,0.59314,1.35692,0.90589,0.94211,0.96441,0.61631,1.28164,0.70141,2.00244,0.00101,0.00101,0.00101
27,25138.8,0.71194,0.60252,1.35795,0.96968,0.95266,0.97239,0.57769,1.43125,0.70953,2.15034,0.0009704,0.0009704,0.0009704
28,26009.4,0.71494,0.62706,1.38155,0.94341,0.9222,0.96064,0.57303,1.41781,0.75432,2.11778,0.0009308,0.0009308,0.0009308
29,26879.6,0.69543,0.58208,1.34998,0.94638,0.94043,0.95356,0.53592,1.57483,0.71154,2.38612,0.0008912,0.0008912,0.0008912
30,27750.2,0.69712,0.59331,1.3438,0.96162,0.95948,0.97209,0.58764,1.40466,0.68691,2.11799,0.0008516,0.0008516,0.0008516
31,28619.3,0.6727,0.58012,1.33458,0.9285,0.93935,0.95118,0.54794,1.52594,0.73599,2.31214,0.000812,0.000812,0.000812
32,29492.7,0.66426,0.55799,1.32366,0.94012,0.93528,0.9626,0.58712,1.45887,0.66636,2.21516,0.0007724,0.0007724,0.0007724
33,30363.7,0.68091,0.58902,1.33307,0.9145,0.95583,0.96466,0.54904,1.49011,0.71547,2.20751,0.0007328,0.0007328,0.0007328
34,31234.2,0.6556,0.55719,1.31208,0.95295,0.95319,0.9802,0.61829,1.28192,0.65475,1.99246,0.0006932,0.0006932,0.0006932
35,32106.5,0.63767,0.54464,1.30353,0.936,0.93356,0.97141,0.61629,1.33425,0.65628,2.01321,0.0006536,0.0006536,0.0006536
36,32977.5,0.64168,0.54724,1.30591,0.98246,0.95337,0.9768,0.59872,1.41767,0.62646,2.09735,0.000614,0.000614,0.000614
37,33859,0.64163,0.52231,1.30133,0.95958,0.95745,0.97248,0.62658,1.28437,0.61916,1.91915,0.0005744,0.0005744,0.0005744
38,34751.3,0.63356,0.53183,1.29488,0.96824,0.9617,0.97191,0.57269,1.48235,0.67789,2.20324,0.0005348,0.0005348,0.0005348
39,35636.2,0.61341,0.51513,1.28132,0.95769,0.96317,0.9793,0.64664,1.2231,0.59361,1.90956,0.0004952,0.0004952,0.0004952
40,36533.1,0.62145,0.52624,1.2846,0.96581,0.96179,0.9824,0.61662,1.35154,0.5784,2.03196,0.0004556,0.0004556,0.0004556
41,37404.1,0.5515,0.37575,1.383,0.96922,0.94894,0.97587,0.60946,1.3349,0.59371,2.06867,0.000416,0.000416,0.000416
42,38276.6,0.53304,0.3418,1.3638,0.96285,0.94894,0.97275,0.60153,1.33193,0.61409,2.15169,0.0003764,0.0003764,0.0003764
43,39148.7,0.52538,0.32807,1.36184,0.98315,0.94043,0.98332,0.66691,1.10264,0.53914,1.85082,0.0003368,0.0003368,0.0003368
44,40022.8,0.51748,0.31065,1.3394,0.97847,0.96693,0.97933,0.67091,1.10949,0.53661,1.80695,0.0002972,0.0002972,0.0002972
45,40901.3,0.52909,0.31039,1.36724,0.97861,0.9735,0.98198,0.64669,1.22174,0.55778,1.92438,0.0002576,0.0002576,0.0002576
